	R935_Col	R935_TSB	R935_FC	DEG	OG	KO.id	KO.description
cds177	5.64853562483817	9.88745620705543	-3.23762322810015	down	OG0001094	K02931	RP-L5; large subunit ribosomal protein L5
cds1770	5.01084339223699	1.56687018236495	4.58762867363894	up	OG0000726	K01133	betC; choline-sulfatase [EC:3.1.6.6]
cds1773	3.96532536892997	3.01807955829232	3.66231471766771	nonDEG	OG0000722		
cds1775	3.25635466476923	1.5822762181068	3.62557944648267	nonDEG	OG0000726	K01133	betC; choline-sulfatase [EC:3.1.6.6]
cds1777	4.53262740137973	3.0822762181068	1.8050210671433	nonDEG	OG0000726	K01133	betC; choline-sulfatase [EC:3.1.6.6]
cds1778	4.38872624588836	1.01807955829232	4.2782529643323	nonDEG	OG0001908	K12984	waaE; (heptosyl)LPS beta-1,4-glucosyltransferase [EC:2.4.1.-]
cds1779	7.62391220136421	8.3210966981539	0.115133560536926	nonDEG	NA	NA	NA
cds178	6.53485665222648	10.5632235464825	-2.92357356554967	down	OG0001095	K02895	RP-L24; large subunit ribosomal protein L24
cds1780	8.08473917369704	7.70298985456527	1.12877718497634	nonDEG	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
cds1781	9.27880525586696	6.99105186732106	3.04651643471848	up	OG0000210	K01061	E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]
cds1782	5.42229151531125	4.43419368522654	1.73618892566977	nonDEG	OG0004125		
cds1783	4.22730401507087	6.39268623288556	-1.01230052701736	nonDEG	OG0000992	K19701	ywaD; aminopeptidase YwaD [EC:3.4.11.6 3.4.11.10]
cds1784	10.1191881636244	10.82747740656	0.0744210957655547	nonDEG	OG0000839	K03628	rho; transcription termination factor Rho
cds1785	6.19760152379287	5.55751022180998	1.26737350126171	nonDEG	OG0005642		
cds1786	7.95828842771716	5.54002108184527	3.33465791891187	up	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB
cds1787	4.19981662834021	3.0822762181068	2.32616874603435	nonDEG	OG0000067	K07674	narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]
cds1788	4.9102606068343	4.36252272156959	0.491816941057406	nonDEG	OG0001718	K07095	uncharacterized protein
cds1789	4.87853228410002	4.99355098693076	0.488486685720156	nonDEG	OG0000700	K06173	truA; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]
cds179	4.53408163457773	10.3422880159636	-4.86751720268511	down	OG0001096	K02874	RP-L14; large subunit ribosomal protein L14
cds1790	4.90614597374591	4.95505858112411	0.399257993911615	nonDEG	OG0000021	K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial
cds1791	5.31259578203428	4.41916438871703	1.16963316598203	nonDEG	OG0000166	K08082	algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]
cds1792	6.21650901607399	3.37475746846738	3.60323650252339	nonDEG	OG0003726		
cds1793	4.84029547626206	7.37697909288882	-2.41432546101455	down	OG0003213		
cds1794	3.38029634508825	5.25735544632695	-1.81224087314097	nonDEG	OG0002872	K21572	susD; starch-binding outer membrane protein, SusD/RagB family
cds1795	3.96002844360976	5.91047478482784	-1.69204029948722	nonDEG			
cds1796	9.62733037668138	5.17683722018584	4.99862462848686	up			
cds1797	5.60245498022703	3.09340441421706	3.36873983154593	up			
cds1798	11.767283993657	14.1578145995296	-1.6322310132914	down	OG0000141	K00382	DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
cds1799	5.1929286436364	6.45533920764309	-0.282232307500734	nonDEG			
cds180	8.351326936154	10.9203810073058	-1.80622829591898	down	OG0001097	K02961	RP-S17; small subunit ribosomal protein S17
cds1801	6.02337111983971	5.80316541986538	1.40220854459555	nonDEG			
cds1802	5.39927133746646	6.13917487778403	0.168037338519116	nonDEG			
cds1803	4.2821809156618	4.3957012794199	0.910218720291544	nonDEG	OG0004535		
cds1804	4.3208023269797	5.7735009878923	-0.625473468546268	nonDEG	OG0001391	K06872	uncharacterized protein
cds1805	5.9575489751027	4.83634397771569	1.14466199507797	nonDEG			
cds1806	4.13962587979294	5.59346012462102	-0.0675314973032263	nonDEG	OG0007738		
cds1808	3.84323773755556	3.74324026555048	1.61731342084996	nonDEG	OG0002868		
cds1809	4.1235048726058	2.35935143272553	2.89539439570895	nonDEG	OG0000391	K03827	yjaB; putative acetyltransferase [EC:2.3.1.-]
cds181	4.66970502738021	9.83933440487665	-3.67052750638682	down	OG0000959	K02904	RP-L29; large subunit ribosomal protein L29
cds1810	6.65068586599914	5.32688432026409	2.22261529391912	up	OG0005641		
cds1811	8.0654017904359	4.94236923417961	3.8350037824209	up	OG0005656		
cds1812	6.44293895550102	4.55751022180998	2.67603915711979	up	OG0007761		
cds1813	5.55931438100322	6.09854276501262	0.247145165299647	nonDEG	OG0007531		
cds1814	6.14245252243541	6.58501997122506	0.536012811111538	nonDEG	OG0007626		
cds1815	4.72543577870158	4.61415188895742	1.40149153311293	nonDEG	OG0002537	K07727	putative transcriptional regulator
cds1817	4.39043229531718	4.0858310553837	1.58559052104711	nonDEG			
cds1818	3.81307158425088	2.5822762181068	1.8550088741934	nonDEG			
cds182	6.99619573951807	11.6996122714065	-3.94156014709692	down	OG0000960	K02878	RP-L16; large subunit ribosomal protein L16
cds1820	5.10156265593978	2.35935143272553	3.89476537608686	up	OG0000268	K19267	qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
cds1821	5.77100970771888	5.28081855562408	1.15850391279061	nonDEG	OG0000094	K18954	pobR; AraC family transcriptional regulator, transcriptional activator of pobA
cds1822	5.25816498604058	3.72903461275323	2.0214011030888	nonDEG			
cds1823	9.7033869198718	8.77413476761669	1.71652408441615	up	OG0003133		
cds1824	5.98379090673528	5.93147805066977	0.869579036779559	nonDEG	OG0000063	K01467	ampC; beta-lactamase class C [EC:3.5.2.6]
cds1825	4.1343120318366	3.28839191445745	1.85734370347557	nonDEG	OG0004154		
cds1826	8.20524187465106	8.27756866155052	0.78977744585484	nonDEG	OG0001218		
cds1827	6.87642088333038	6.51955423362389	1.19910435834508	nonDEG	OG0000573	K07404	pgl; 6-phosphogluconolactonase [EC:3.1.1.31]
cds1828	5.78568094138469	5.28303979905109	0.481937736544034	nonDEG	OG0000586	K03817	rimL; ribosomal-protein-serine acetyltransferase [EC:2.3.1.-]
cds1829	3.56589312035697	3.28839191445745	0.969075857464096	nonDEG	OG0000472	K06966	ppnN; pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]
cds183	7.93379677628371	12.652220734461	-3.9038845388993	down	OG0001098	K02982	RP-S3; small subunit ribosomal protein S3
cds1830	6.01157315099465	5.73500858208565	1.01383068909037	nonDEG	OG0001740		
cds1831	4.20981487510616	3.62172524779078	1.94397365656505	nonDEG			
cds1832	4.57580890148832	3.01807955829232	3.47600075562872	nonDEG	OG0003643	K05937	uncharacterized protein
cds1833	4.97055925137367	2.06687018236495	3.29144975518059	nonDEG			
cds1834	6.05815000644462	5.28081855562408	1.22631917974045	nonDEG	OG0003621		
cds1835	2.95818570771833	3.89084355514331	-0.109705575389052	nonDEG			
cds1837	7.8507720952717	7.89368644407713	0.711887646172449	nonDEG	OG0005756	K03455	TC.KEF; monovalent cation:H+ antiporter-2, CPA2 family
cds1838	9.39843406602151	9.57875355143459	0.590396906706581	nonDEG	OG0000339	K01752	E4.3.1.17; L-serine dehydratase [EC:4.3.1.17]
cds1839	5.93397241618985	7.50781434078239	-0.754436401781689	nonDEG			
cds184	6.4825769692805	10.625257038722	-3.15316716170652	down	OG0000961	K02890	RP-L22; large subunit ribosomal protein L22
cds1840	5.44297850468867	7.07716598587272	-0.625859131462975	nonDEG	OG0001211	K00606	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
cds1841	0.962851725180329	5.74383265253938	-4.47754921739888	down	OG0002861		
cds1842	6.71539782638042	7.50984965016252	0.0730483734048581	nonDEG	OG0001361	K06177	rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]
cds1843	8.04637396588879	6.43013054889057	2.31056084351901	up	OG0000547	K00154	E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
cds1844	6.68654104493539	6.65478638448387	1.02447522468974	nonDEG	OG0007522		
cds1845	6.6890922357832	4.69799814462274	2.73877527378548	up	OG0000076	K07678	barA; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]
cds1846	5.55062522381927	6.18096512833778	0.175067247849959	nonDEG	OG0001082	K07054	uncharacterized protein
cds1847	7.78018831119676	7.68659290617677	0.907125912215778	nonDEG	OG0000813	K01463	bshB1; N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]
cds1848	5.68460942531055	7.40755682507755	-0.964921641908019	nonDEG	OG0000139	K01657	trpE; anthranilate synthase component I [EC:4.1.3.27]
cds1849	4.20630074922893	5.85980708701282	-0.825866950706833	nonDEG	OG0001188	K19222	menI; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]
cds185	4.90700395496718	9.09971879717839	-3.38851418036984	down	OG0001099	K02965	RP-S19; small subunit ribosomal protein S19
cds1850	6.78379373442246	6.83991239632111	0.853399169196808	nonDEG	OG0005481		
cds1851	4.39231080687365	4.1500460813645	1.17082997929063	nonDEG	OG0000701	K01150	endA; deoxyribonuclease I [EC:3.1.21.1]
cds1853	7.63708147484344	10.755669410257	-2.33035656716127	down	OG0000516	K01952	purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
cds1855	4.26863358749602	2.11566080643758	5.03233451819838	up	OG0000781		
cds1856	6.58894465705122	8.42629818837938	-0.921738141106614	nonDEG			
cds1857	7.19965084896013	7.55714668236298	0.411474336046586	nonDEG	OG0000030	K01897	ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]
cds1858	7.55761630080483	3.81671274803116	4.58702035625512	up	OG0001935		
cds1859	7.7263320684431	3.30802314414197	5.10243239406431	up			
cds186	10.0520081858776	13.4876014242118	-2.59804222070663	down	OG0001100	K02886	RP-L2; large subunit ribosomal protein L2
cds1860	3.78282943716247	3.75249772205037	1.0204425138896	nonDEG			
cds1863	4.76187797526113	3.01807955829232	3.28545551956024	nonDEG	OG0000093	K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
cds1864	2.76319820747795	2.87475746846738	2.61745410656634	nonDEG	OG0004018	K07074	uncharacterized protein
cds1865	3.94513814279935	2.76007108088373	0.303824443524038	nonDEG	OG0000194	K03424	tatD; TatD DNase family protein [EC:3.1.21.-]
cds1866	5.40644872528372	3.72903461275323	2.56707451280863	up	OG0001905	K14415	RTCB; tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]
cds1867	5.04903239702673	4.95505858112411	0.797313839266465	nonDEG	OG0007760		
cds1869	6.76473783370416	6.64133769201672	0.88280056392242	nonDEG	OG0003654		
cds187	6.70660169468092	11.2783419579903	-3.74553144521275	down	OG0000962	K02892	RP-L23; large subunit ribosomal protein L23
cds1870	7.00394111688815	5.06236794608657	2.69902388584382	up	OG0005588		
cds1871	9.76807084703486	6.65032670788347	3.8961364980445	up	OG0000011	K06075	slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin
cds1872	13.1287850111883	11.3671702595733	2.53110017864809	up	OG0002862	K07516	fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
cds1873	10.1880747627462	7.88639512946443	3.09238204549541	up	OG0000031	K00626	E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
cds1874	9.34882555374056	7.81817809850668	2.4676010992604	up	OG0000049	K00253	IVD; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
cds1875	5.33882258280924	4.59068877966028	1.59880720531859	nonDEG	OG0003211	K01183	E3.2.1.14; chitinase [EC:3.2.1.14]
cds1877	5.53092021812994	4.0858310553837	2.28328402089514	nonDEG	OG0005593		
cds1878	9.41395182718455	7.97515920893957	2.16986173737781	up	OG0001264		
cds1879	8.33637319376673	7.80958810041471	1.15894141580039	nonDEG	OG0001736	K04565	SOD1; superoxide dismutase, Cu-Zn family [EC:1.15.1.1]
cds188	7.84792727978195	12.5978233004942	-3.90701645252083	down	OG0001101	K02926	RP-L4; large subunit ribosomal protein L4
cds1880	2.91070428604493	5.54002108184527	-1.02135601422514	nonDEG			
cds1881	7.90880437622007	8.17342594264024	0.567085391663521	nonDEG	OG0000279	K01673	cynT; carbonic anhydrase [EC:4.2.1.1]
cds1882	6.20794522391573	4.46983208653205	2.38349734165158	up	OG0001537	K03321	TC.SULP; sulfate permease, SulP family
cds1883	6.29319893462552	5.10820245400321	1.86686438533275	up			
cds1884	9.52010009718666	7.09839754431185	3.14565979930103	up	OG0000477	K04047	dps; starvation-inducible DNA-binding protein
cds1885	5.79433739560727	6.72018735026907	0.00648013642834041	nonDEG	OG0000004	K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
cds1886	9.89719770587348	7.85114201750184	2.73944218801617	up			
cds1887	7.35896157397666	5.4563338271227	2.66592507297766	up	OG0001496	K15461	mnmC; tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein [EC:2.1.1.61 1.5.-.-]
cds1888	7.02190375581586	8.44186254756662	-0.635839329235033	nonDEG	OG0000154	K00826	E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42]
cds1889	5.22553924851436	5.59467966021564	0.472492183349612	nonDEG	OG0004696		
cds189	8.19310491403171	12.6929131479025	-3.61166867514163	down	OG0001102	K02906	RP-L3; large subunit ribosomal protein L3
cds1890	3.44904810696321	3.0822762181068	1.50150451854806	nonDEG			
cds1891	9.4832359472767	8.76616860140109	1.49981510413327	up			
cds1893	6.1287952620833	4.85980708701282	2.11324766321639	up			
cds1894	8.07571111509196	6.548845152299	2.33950320733071	up	OG0005608		
cds1895	6.20897329965953	6.04190109786518	0.863834699775474	nonDEG	OG0005546		
cds1896	7.22317148002679	3.97054764339375	4.57712297515711	up			
cds1897	10.4351349198224	6.64760866396733	4.50802031805883	up			
cds1898	4.95149168693029	6.83067516928046	-1.39325979322111	nonDEG	OG0001063	K03549	kup; KUP system potassium uptake protein
cds1899	4.69199664195193	6.33664672925351	-0.528627645493715	nonDEG	OG0000587	K03500	rsmB; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
cds19	8.92004340755195	9.78756195821256	0.112234111355588	nonDEG	OG0000804	K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
cds190	3.60091392781745	5.41916438871703	-1.63057497069448	nonDEG	OG0001103	K02946	RP-S10; small subunit ribosomal protein S10
cds1900	8.40427039939419	6.59600262761663	2.56688258486017	up	OG0000030	K01897	ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]
cds1901	6.68675151503036	5.31399711347439	1.83173565460599	nonDEG	OG0005169	K07052	uncharacterized protein
cds1902	4.20877827334517	4.16723871882795	0.603493280175482	nonDEG	OG0001150	K00537	arsC1; arsenate reductase (glutaredoxin) [EC:1.20.4.1]
cds1903	8.36969258922189	8.51959960610097	0.619422096197815	nonDEG	OG0000781		
cds1905	7.80170450738246	8.85859795517799	-0.209951186737893	nonDEG	OG0000205	K01679	E4.2.1.2B; fumarate hydratase, class II [EC:4.2.1.2]
cds1906	5.37351212160302	8.14551112562284	-2.0038431007782	down			
cds1907	6.62498280872005	5.90172227130407	1.34392847869989	nonDEG	OG0000063	K01467	ampC; beta-lactamase class C [EC:3.5.2.6]
cds1909	6.15295373088598	3.28839191445745	3.58137502583372	up	OG0001873	K01400	nprE; bacillolysin [EC:3.4.24.28]
cds191	9.12150627690278	12.9501933556937	-2.89475527818187	down	OG0000680	K02355	fusA; elongation factor G
cds1910	6.14262214086869	5.94938977268888	1.39115703788675	nonDEG	OG0001920		
cds1912	4.34964267654284	2.28839191445745	2.73786668902777	nonDEG	OG0001885		
cds1913	4.7002982772278	3.24324026555048	2.22032831611877	nonDEG			
cds1914	7.81234823117611	2.85935143272553	5.82095172627843	up	OG0000110	K02199	ccmG; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
cds1915	6.33345506305462	6.39221341960693	0.78512709791086	nonDEG			
cds1916	8.33998399277349	12.2831066968189	-2.88258320050568	down	OG0000316	K16092	btuB; vitamin B12 transporter
cds1917	5.04441129256343	5.77212895173489	0.124438108279865	nonDEG	OG0000336	K00375	GntR family transcriptional regulator / MocR family aminotransferase
cds1919	7.95185448153723	4.34503358160488	4.41912632813061	up	OG0000493	K01971	ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
cds192	8.36707467975764	13.1395405497774	-4.00081492484077	down	OG0001104	K02992	RP-S7; small subunit ribosomal protein S7
cds1920	5.36005965835538	5.15996186249585	0.209097684727013	nonDEG	OG0001014	K10979	ku; DNA end-binding protein Ku
cds1921	6.07646661350503	7.68666984375744	-0.582836910716517	nonDEG	OG0000156	K02073	metQ; D-methionine transport system substrate-binding protein
cds1922	4.37481009363785	7.21999923890119	-1.94429837737144	down	OG0000275	K02072	metI; D-methionine transport system permease protein
cds1923	4.53096901305129	8.76488330449337	-3.19425692685422	down	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
cds1924	3.46550327545012	6.08079542458696	-1.62065739960547	nonDEG			
cds1925	6.74200202030643	8.1064631144554	-0.371812244201288	nonDEG			
cds1926	6.11253079206549	6.21986386990748	0.675288971526999	nonDEG	OG0001714	K01443	nagA; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]
cds1927	4.38949028062426	3.15183268308611	2.48651453990152	nonDEG	OG0004577		
cds1928	4.58761068019872	4.15183268308611	2.37561793968743	nonDEG	OG0000315	K12542	lapC; membrane fusion protein, adhesin transport system
cds1929	6.02637608913474	4.96985662091026	1.8407854115468	nonDEG	OG0004576		
cds193	7.41940355067106	12.6475028571692	-4.36190093555229	down	OG0001105	K02950	RP-S12; small subunit ribosomal protein S12
cds1930	2.86305163476425	2.62172524779078	1.64651705568434	nonDEG			
cds1931	10.8138266828295	3.28839191445745	7.95167233117387	up	OG0001878		
cds1932	4.24545327641166	2.60304205901347	3.46118610757153	nonDEG	OG0000409	K04084	dsbD; thiol:disulfide interchange protein DsbD [EC:1.8.1.8]
cds1933	6.60811132051943	3.87475746846738	3.63987990593474	up	OG0003272	K07263	pqqL; zinc protease [EC:3.4.24.-]
cds1934	4.77753003522013	4.41916438871703	0.431085790896893	nonDEG	OG0000110	K02199	ccmG; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
cds1936	3.51711395356941	2.01807955829232	3.46951780540203	nonDEG	OG0004202		
cds1937	5.12821782288686	2.5822762181068	3.59490170315519	up			
cds1939	4.06268789759851	2.42673774755039	1.75823928362334	nonDEG			
cds194	5.09343893628195	4.92402211299362	1.20434018892471	nonDEG	OG0007549		
cds1940	5.35170128948234	2.06687018236495	4.60643256439768	up	OG0000068	K21573	susC; TonB-dependent starch-binding outer membrane protein SusC
cds1942	5.15104918048785	4.37475746846738	2.31790520695841	nonDEG	OG0000039	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
cds1943	4.59967145896761	4.59068877966028	0.93529855860092	nonDEG	OG0002336	K13527	mpa; proteasome-associated ATPase
cds1944	12.7417470535377	8.67166493114437	4.9274317432634	up	OG0000032	K11936	pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
cds1945	6.33031702431986	5.96251451880026	1.29777394542348	nonDEG	OG0000622		
cds1946	8.44119625249731	8.29396566441988	0.934131628380652	nonDEG	NA	NA	NA
cds1947	10.7990529838851	2.28839191445745	9.06395697105338	up			
cds1948	3.8792967322627	1.76007108088373	2.19051316610592	nonDEG	OG0000441	K05350	bglB; beta-glucosidase [EC:3.2.1.21]
cds1949	8.85688143977734	7.14957622461294	2.43386038688233	up			
cds195	12.0978824336019	15.284861638731	-2.393768539564	down	OG0001131		
cds1950	5.301104421382	4.66481958677243	1.70574003995649	nonDEG			
cds1952	7.83354586537127	6.58222404272748	2.03744532742442	up	OG0003206		
cds1953	4.34678867204169	2.60304205901347	4.39543170462301	up	OG0000059	K18139	oprM; outer membrane protein, multidrug efflux system
cds1954	8.26218146569883	5.12432346119034	4.19126396615076	up	OG0000023	K18138	acrB; multidrug efflux pump
cds1955	6.17062622139019	1.5822762181068	5.7093000761267	up	OG0001157	K18298	mexE; membrane fusion protein, multidrug efflux system
cds1956	6.41349876223478	3.62172524779078	3.21259487944497	up			
cds1957	4.5489360814189	3.92402211299362	1.62155823409068	nonDEG	OG0000195	K02348	elaA; ElaA protein
cds1958	4.75415465995148	3.37475746846738	2.67360236567407	nonDEG			
cds196	9.28063680934281	12.8398327686465	-2.74265219465522	down	OG0001476		
cds1960	6.41354236531278	7.49219174432594	-0.207078296531486	nonDEG	OG0006964		
cds1961	6.40493080326744	6.36064053385588	0.795512711633967	nonDEG	OG0002361	K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
cds1962	5.39262317995834	7.29236726989305	-0.554880802629513	nonDEG	OG0000157	K02439	glpE; thiosulfate sulfurtransferase [EC:2.8.1.1]
cds1963	3.76780014065296	3.97054764339375	2.0047895294954	nonDEG	OG0000077	K01420	fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein
cds1965	5.72288909130087	6.82080452964987	-0.099485583701763	nonDEG	OG0000016	K07729	putative transcriptional regulator
cds1966	7.2848938133043	8.05625938034927	0.216914058814714	nonDEG			
cds1967	4.96633672229318	4.78478490180123	0.96729844186341	nonDEG	OG0000404	K00426	cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
cds1968	8.45431267585929	8.84625170802607	0.34402175918409	nonDEG	OG0000326	K00425	cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]
cds1969	5.77068378541094	5.9859776280974	0.557960011790705	nonDEG	OG0004743	K07023	putative hydrolases of HD superfamily
cds197	7.84395852424543	11.2241969035648	-2.4247525071036	down			
cds1970	5.18737823011968	7.63677937971769	-1.20778673923432	nonDEG	OG0001906	K01069	gloB; hydroxyacylglutathione hydrolase [EC:3.1.2.6]
cds1971	3.92228334381763	4.96251451880026	-0.992674276259947	nonDEG	OG0002835	K07112	uncharacterized protein
cds1972	5.17229038270711	6.30250637438868	-0.308843076237571	nonDEG	OG0002834	K07112	uncharacterized protein
cds1973	6.05194774451501	6.08199917577109	1.03221529844209	nonDEG	OG0000607	K00111	glpA; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
cds1974	6.66040131455231	4.01170024827155	3.60486915789529	up	OG0000011	K06075	slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin
cds1975	8.01119386183133	7.66050656820327	1.15173523488442	nonDEG	OG0000192	K10679	nfnB; nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34]
cds1976	8.71444837032658	8.16618945123605	1.29949303685651	up	OG0003718		
cds1977	4.50923029564026	1.01807955829232	4.38068749710189	nonDEG	OG0003186		
cds1978	9.41554399961492	8.30189674192128	1.96879262660413	up	OG0000139	K01657	trpE; anthranilate synthase component I [EC:4.1.3.27]
cds198	6.77143603606858	8.73487956222129	-1.04024566276176	nonDEG			
cds1980	4.40343033918913	5.38352598741153	0.406665349993098	nonDEG	OG0000713	K01658	trpG; anthranilate synthase component II [EC:4.1.3.27]
cds1981	5.86108103849307	7.065675246787	-0.461214483947886	nonDEG	OG0001017	K00766	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
cds1982	3.58256806341464	5.47069006775332	-2.5884648116806	nonDEG	OG0000819	K01609	trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]
cds1983	3.51055646987733	5.29983873268896	-0.229146126259634	nonDEG	OG0001000	K01817	trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]
cds1984	5.37594295245847	6.40903983903586	-0.272443804355079	nonDEG	OG0000727	K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
cds1985	4.3251086517403	4.45755003912728	0.59795275656679	nonDEG			
cds1986	5.80964426497408	5.17920036178128	1.44656780588288	nonDEG	OG0000861	K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
cds1987	7.58515613020824	8.71145595987402	-0.393524903277544	nonDEG	OG0000454		
cds1988	8.44818806271133	10.5392605978054	-1.28114595079149	down	OG0002560		
cds1989	5.80204617584938	9.19356960229964	-2.50454823810789	down	OG0000117	K03543	emrA; membrane fusion protein, multidrug efflux system
cds199	7.39552608990365	8.56087179497086	-0.40711405748805	nonDEG	OG0000302	K03218	rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
cds1990	6.51556258897497	8.0191561859477	-0.491719695648981	nonDEG	OG0000038	K03446	emrB; MFS transporter, DHA2 family, multidrug resistance protein
cds1991	8.20261956701112	6.47887079584092	2.26840482768093	up	OG0001562	K09861	uncharacterized protein
cds1992	4.95493148384721	7.56880415549181	-1.74878517211851	down	OG0001019	K00974	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
cds1993	7.90255448321451	9.70659716826068	-0.824469747675969	nonDEG	OG0006886	K02259	COX15; cytochrome c oxidase assembly protein subunit 15
cds1994	4.18601370112942	2.42673774755039	1.91183347095737	nonDEG	OG0000105	K08083	algR; two-component system, LytTR family, response regulator AlgR
cds1995	5.30712599330267	2.81671274803116	3.26184351580985	up	OG0001730		
cds1997	3.77235845295198	1.5822762181068	4.19039243295774	nonDEG	OG0001730		
cds1999	5.63788343037039	3.1500460813645	2.49602200126253	nonDEG	OG0001730		
cds2	8.50884290816163	10.3103417421913	-0.949862491805791	nonDEG	OG0000101	K03496	parA; chromosome partitioning protein
cds20	4.15547967927198	4.53404711251285	0.314998062944703	nonDEG	OG0000140	K22441	paiA; diamine N-acetyltransferase [EC:2.3.1.57]
cds200	4.66500182757507	4.01170024827155	1.60730899154393	nonDEG	OG0004126		
cds2000	5.71838315445831	4.13649875319872	2.18041719175913	nonDEG	OG0007524		
cds2001	5.40113487732738	5.7720144384954	0.53595668476184	nonDEG	OG0002576		
cds2002	4.42111572414615	6.05185954776432	-0.207012342545921	nonDEG	OG0002867		
cds2003	6.15115399264842	6.28964262607781	0.721852435298112	nonDEG	OG0004077		
cds2004	9.18047232719472	7.36915223122493	2.56621202876152	up	OG0000121	K00661	maa; maltose O-acetyltransferase [EC:2.3.1.79]
cds2005	7.38744166330273	5.65615451726145	2.5899535540366	up	OG0000383	K08234	yaeR; glyoxylase I family protein
cds2006	3.42754728726403	5.68582285261437	-1.24153103196896	nonDEG	OG0000779	K03281	TC.CIC; chloride channel protein, CIC family
cds2007	4.68149404153244	5.82416868570732	-0.193418737150609	nonDEG	OG0001269	K07168	CBS domain-containing membrane protein
cds2008	7.18151362945254	10.3417324400733	-2.38843780099803	down	OG0005560		
cds2009	6.55290668416662	9.50569118896892	-2.11062462148443	down	OG0002861		
cds201	4.72463270320884	2.81671274803116	1.87275405555836	nonDEG			
cds2010	4.0528062701878	6.97917723074416	-2.87504870954716	down	OG0004698		
cds2011	9.30404349157365	9.17368526865724	0.899615767300701	nonDEG	OG0005528		
cds2012	7.31225299086533	7.02972580585681	0.923653000730343	nonDEG	OG0004160		
cds2013	9.90305712693035	9.60338936670745	1.03673936412333	nonDEG	OG0005655		
cds2014	5.66879370450973	4.66021765359742	1.81387743653406	nonDEG	OG0004179		
cds2015	5.74889268537981	5.29182357470007	1.23828512938242	nonDEG	OG0006955		
