	S763_Col	S763_TSB	S763_FC	DEG	OG	KO.id	KO.description
cds1463	4.77398610511575	3.35989239135038	1.97162676898003	nonDEG	OG0000349	K03299	TC.GNTP; gluconate:H+ symporter, GntP family
cds1464	6.90973635074505	5.96546107356395	1.00999338541421	nonDEG	OG0000824		
cds1465	9.45703701930463	8.36825421718621	1.8399146157273	up	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
cds1466	6.99271934666079	8.04936661035198	-0.274210842741256	nonDEG	OG0001205	K03216	trmL; tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]
cds1467	6.7589336165758	7.14452925723708	0.582756881604079	nonDEG	OG0000672	K05516	cbpA; curved DNA-binding protein
cds1468	5.74354733188142	5.01594523586084	0.986994628671169	nonDEG	OG0000307	K07029	dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]
cds1469	4.71595949659307	4.30329492238752	0.622610888353752	nonDEG			
cds147	6.30230693868947	4.32086929023849	2.73143867144736	up	OG0000011	K06075	slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin
cds1471	3.85761784446872	3.80504002513766	-0.678914125782489	nonDEG			
cds1472	4.35934424415372	5.33194002763262	0.164785031000822	nonDEG	OG0001315		
cds1473	6.78352498417212	6.49693341280579	0.492137210560834	nonDEG	OG0000281	K04487	iscS; cysteine desulfurase [EC:2.8.1.7]
cds1474	8.60852844044357	8.86913909330468	0.539864486295954	nonDEG	OG0000800	K00566	mnmA; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]
cds1475	11.4183214618712	12.8440745285105	-0.837819472280008	nonDEG	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
cds1476	5.62483311279201	9.37130905280737	-2.62994170605752	down	OG0000036	K02033	ABC.PE.P; peptide/nickel transport system permease protein
cds1477	5.81298043986509	8.24372621042173	-2.29819891532146	nonDEG	OG0000037	K02034	ABC.PE.P1; peptide/nickel transport system permease protein
cds1478	8.91036592648449	10.7588321305565	-1.13985976869017	nonDEG	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
cds1479	5.701041237808	5.87296243784295	0.708529732168369	nonDEG	OG0002797	K04092	tyrA1; chorismate mutase [EC:5.4.99.5]
cds148	5.60815288529214	6.02057148311326	0.477752819402673	nonDEG			
cds1480	5.43347505126587	5.16942788885043	1.10291064970055	nonDEG			
cds1481	5.04310441246828	3.30137074188534	3.30733708275306	nonDEG			
cds1482	1.84551089578391	4.57901605676678	-3.53776656131767	nonDEG	OG0000260		
cds1483	4.1579871362641	5.13747925071648	0.41808368456359	nonDEG	OG0000151	K03924	moxR; MoxR-like ATPase [EC:3.6.3.-]
cds1484	5.07026702627997	5.64519664876049	-0.353109281572232	nonDEG	OG0006355		
cds1485	4.59458343863493	4.24500966755456	-0.313179057937039	nonDEG	OG0006194		
cds1486	4.87411774956166	4.33522553086912	1.58570446201543	nonDEG	OG0003996		
cds1487	7.62840134305178	8.38779639178933	0.0382709163203811	nonDEG	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
cds1488	8.68413652751648	9.01637709183317	0.506439099655408	nonDEG	OG0000010	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
cds1489	6.19164635217237	8.03668085596793	-0.821768469642766	nonDEG	OG0006352		
cds149	6.21462880341154	7.10815590560567	-0.13316760144268	nonDEG			
cds1490	5.4026886943568	2.45690865201818	3.25165686344239	nonDEG	NA	NA	NA
cds1491	10.4575708918443	7.44157316169075	3.85018306678728	up	OG0000737	K05808	yhbH; putative sigma-54 modulation protein
cds1492	6.65476245314128	5.62211039574844	1.25815205513664	nonDEG	OG0002683	K09927	uncharacterized protein
cds1493	9.64367386544044	10.5860081180428	-0.148849078779855	nonDEG	OG0000618	K03070	secA; preprotein translocase subunit SecA
cds1496	5.68228369240429	1.92845825175659	5.69751243626695	up	OG0006302		
cds1497	5.75768290495543	5.25506975426748	1.70054158170652	nonDEG	OG0002536		
cds1498	5.78477841197741	1.55676207930448	4.27671914245754	nonDEG	OG0006193		
cds1499	2.55908311976574	2.96636830946977	-0.34153055969534	nonDEG	OG0006303		
cds15	4.8142252565042	2.85503466707379	1.74973859215857	nonDEG	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
cds1500	11.1587059357296	11.7168520623729	0.0708411342307958	nonDEG	OG0002152	K15371	GDH2; glutamate dehydrogenase [EC:1.4.1.2]
cds1501	6.44439519025684	6.88144134989052	0.356134458828327	nonDEG	OG0002295	K00936	pdtaS; two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]
cds1502	4.52235693772793	5.17212957206278	0.2055944555583	nonDEG	OG0006192	K18955	whiB1_2_3_4; WhiB family transcriptional regulator, redox-sensing transcriptional regulator
cds1503	5.21248671369173	5.68995486044348	0.300015722151872	nonDEG	OG0006191		
cds1504	4.44976297652807	4.13031934157966	0.547520997677368	nonDEG	NA	NA	NA
cds1505	10.0128752571731	12.0833912321184	-1.30035543910801	down	OG0003134	K01854	glf; UDP-galactopyranose mutase [EC:5.4.99.9]
cds1506	8.70491118316457	10.2259347810066	-0.668739779750052	nonDEG	OG0004038	K16650	glft2; galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase [EC:2.4.1.288]
cds1507	4.58128017944497	7.04702671197085	-2.2413134282484	nonDEG	OG0000665	K09690	ABC-2.LPSE.P; lipopolysaccharide transport system permease protein
cds1508	5.61334534815482	7.03627747626304	-1.0529187469923	nonDEG	OG0000474	K09691	ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein
cds1509	9.30991313362257	10.9625380122692	-0.826618720943574	nonDEG	OG0001244	K02474	wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]
cds151	11.3255359916382	10.5182360881218	1.51188899282069	up	OG0000096	K14645	serine protease [EC:3.4.21.-]
cds1510	4.29149977945868	6.53748760037055	-1.25899883517875	nonDEG	OG0000121	K00661	maa; maltose O-acetyltransferase [EC:2.3.1.79]
cds1511	8.38038722492378	10.1103611488028	-0.902618900788378	nonDEG	OG0000211	K02805	wecE; dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]
cds1512	9.77543194692624	9.94685930450374	0.842849101378617	nonDEG	OG0000083	K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
cds1513	6.26529650122655	6.98449513253871	0.0827949885637374	nonDEG	OG0001609	K03208	wcaI; colanic acid biosynthesis glycosyl transferase WcaI
cds1514	8.65660769876867	8.82507138810432	0.561544820434648	nonDEG	OG0001065	K01791	wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
cds1515	10.793933290152	11.1282031705165	0.572672460478038	nonDEG			
cds1516	8.38878583705849	10.0969255115506	-0.900339436212659	nonDEG	OG0000511	K00721	DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
cds1517	4.64404562048689	5.47963665450354	-0.658484140530842	nonDEG			
cds1518	8.62259004450944	9.69252379321554	-0.265227077318751	nonDEG	OG0000032	K11936	pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
cds1519	7.19849255286129	8.555776368776	-0.48135259349478	nonDEG			
cds152	6.8414756093319	7.12803242830673	1.56956970152802	nonDEG			
cds1520	8.56630925793086	10.8295328762706	-1.46374305725874	down	OG0003657		
cds1521	9.69605014922487	10.3349702252386	0.171293521795499	nonDEG	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
cds1522	5.76043877694997	7.77598504021816	-1.07951121849045	nonDEG	OG0003734		
cds1523	4.7119389794861	3.58768112627776	-0.0510872980817783	nonDEG	NA	NA	NA
cds1524	4.54582004702506	6.59797928199911	-0.799202783067533	nonDEG	NA	NA	NA
cds1525	5.16751018699636	7.15147860006521	-1.19258073089529	nonDEG	NA	NA	NA
cds1526	4.89878461004292	2.14178815118708	5.2322682583226	up			
cds1527	7.91969153243126	7.97115449691862	0.833006314016577	nonDEG	OG0000144	K01784	galE; UDP-glucose 4-epimerase [EC:5.1.3.2]
cds1528	6.33490628875117	4.80964195831267	2.36021533627942	nonDEG	NA	NA	NA
cds1529	6.16745604886339	5.64564213128143	1.42902439915853	nonDEG	OG0003614		
cds153	4.44258034518988	5.97842618032093	-2.1474203428904	nonDEG	OG0003980	K01952	purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
cds1530	3.61003507300586	3.710759062833	1.02885982665802	nonDEG	OG0000623	K14060	pinR; putative DNA-invertase from lambdoid prophage Rac
cds1531	5.83652843950767	6.35704410916455	0.49456904552201	nonDEG			
cds1532	9.76544568414828	10.7752436061088	-0.203433400263487	nonDEG	OG0007513		
cds1533	5.96897360535614	5.09065666284063	1.6870175683225	nonDEG			
cds1535	7.24299665953701	7.91186375396709	0.415645798597447	nonDEG	OG0003614		
cds1539	4.10731943844908	4.08004728208146	0.558138668117727	nonDEG	OG0004671		
cds154	6.63896830154701	8.89353232845773	-1.45774002252133	down	OG0000516	K01952	purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
cds1543	6.32377966797805	2.55676207930448	3.88445265044469	nonDEG			
cds1544	6.6356402720228	7.27953995547892	0.228459023584733	nonDEG	OG0002534		
cds1545	7.45389658243797	7.44198207550749	0.816096150997464	nonDEG			
cds155	7.3910815526336	9.61099984342905	-1.41234261372243	nonDEG	OG0000516	K01952	purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
cds1553	6.70606742198596	8.02790304026789	-0.257445427034442	nonDEG	OG0001668	K02836	prfB; peptide chain release factor 2
cds1554	7.57102220821191	8.46436933110034	-0.0870765233180556	nonDEG	NA	NA	NA
cds1555	4.85761784446872	7.00623691970534	-2.79039257292805	nonDEG	OG0001024	K09811	ftsX; cell division transport system permease protein
cds1556	7.71365154794675	8.53720956823528	0.128538255747478	nonDEG	OG0000130	K06194	nlpD; lipoprotein NlpD
cds1557	7.40663859539525	8.84453160803367	-0.640345404255306	nonDEG	OG0000756	K03664	smpB; SsrA-binding protein
cds1558	7.41121663240653	4.47296613821681	3.30100524416623	up	OG0001604		
cds1559	7.03662029157956	7.03415369636626	0.898714102948028	nonDEG			
cds156	6.80207840862625	6.04161017788788	1.52546053311046	nonDEG	OG0007757	K09764	uncharacterized protein
cds1560	9.56178024571916	10.1090293834702	0.265498921324922	nonDEG	OG0004695		
cds1561	6.08042102710982	5.48456459336232	1.69994898078119	nonDEG	NA	NA	NA
cds1562	4.16743899067127	4.92123460076713	-1.64624205897487	nonDEG	OG0001793		
cds1565	6.77281583218337	6.64725203501134	1.23997034044868	nonDEG			
cds1566	6.09291259558271	6.64554452658311	0.493823344333635	nonDEG			
cds1567	5.16396110559652	5.03711666684798	1.00482447804841	nonDEG			
cds1568	5.43047339650507	4.84246416316633	-0.393866590693722	nonDEG			
cds1569	4.12480857841379	4.64783301592259	0.222643279682063	nonDEG			
cds157	5.58400739449102	5.93685727353094	0.493786118834101	nonDEG	OG0000216		
cds1570	5.36643804182334	6.13711719041283	-0.519792779908164	nonDEG			
cds1571	4.12480857841379	4.89755135031396	0.676527228944287	nonDEG			
cds1572	5.89395142014454	5.66095300954285	1.14931892142667	nonDEG	OG0001154		
cds1573	4.97309506188866	5.65330297436463	-1.33911558361575	nonDEG			
cds1576	5.44976297652807	3.12110332969899	3.84081784363165	nonDEG			
cds1577	3.85761784446872	3.31856281892523	-0.584092751289904	nonDEG			
cds1578	6.28106507281934	6.68923116076294	0.448987307058796	nonDEG			
cds1579	7.08501959675954	7.7532979092097	0.20137080363699	nonDEG			
cds158	8.26553689030777	7.17535472462715	1.88651124547234	up			
cds1580	6.36011818499791	5.61705554785058	-0.00637004848065714	nonDEG			
cds1581	5.6024617141725	6.20250257950359	0.513844351222261	nonDEG			
cds1582	4.73208696238486	3.6115215587382	0.317982217774948	nonDEG			
cds1583	5.46284197742875	6.52624192392834	0.181254547140085	nonDEG			
cds1584	7.04183050881748	5.88426322783038	1.7634950441949	nonDEG			
cds1585	5.87376142980554	4.54052365096014	1.59383235971814	nonDEG			
cds1586	6.25845496573483	4.77568208697293	1.69929973279816	nonDEG			
cds1587	6.97619200371061	7.20835869603627	0.633387125040828	nonDEG			
cds1588	7.93361342121024	8.0658036601674	0.680102785955355	nonDEG			
cds159	5.82741619690603	4.39925441465794	0.620561595628396	nonDEG			
cds1590	5.66332551859866	2.69038855806521	3.1038437585332	nonDEG			
cds1591	4.78477841197741	3.6370258566918	1.28493069490907	nonDEG			
cds1595	4.73217023543926	2.90489345242396	2.33159693298317	nonDEG			
cds1596	6.0934384092275	3.87748642300771	1.34965594570074	nonDEG			
cds1597	4.27265534374757	3.97234227880219	-0.449946080729059	nonDEG			
cds1598	5.7119389794861	2.91570061165476	1.83707845896185	nonDEG			
cds1599	4.14404562048689	3.86304982506268	0.317836286168435	nonDEG	OG0001442	K00558	DNMT1; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
cds16	6.22336542985249	6.14479343501004	0.957638266942719	nonDEG	OG0000010	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
cds160	4.97779767580987	4.26738106617408	1.2916394253479	nonDEG	OG0001400		
cds1602	5.17954593935609	4.60306598535206	-0.11017139713225	nonDEG	OG0000303	K03111	ssb; single-strand DNA-binding protein
cds1603	4.6666767401533	4.37751095738593	1.37454566068665	nonDEG			
cds1604	4.61334534815482	3.49254705332368	1.95588942867636	nonDEG			
cds1605	6.22900812120805	3.76654761933102	2.49204835338853	nonDEG			
cds1607	5.15891929218392	2.93318975161947	2.74486041264606	nonDEG			
cds1608	7.84958170532396	5.34961734930467	3.23116989852238	up			
cds1609	3.83646354634497	5.96939568356252	-1.16013087744882	nonDEG			
cds161	7.068803840612	5.61776707959873	2.26269508503859	up	OG0003146	K06929	uncharacterized protein
cds1610	6.05665174063407	5.54329357497379	1.24070506721844	nonDEG			
cds1611	5.85761784446872	6.19753062863621	-1.07413692100457	nonDEG	OG0006165		
cds1612	6.13078254774622	4.77763299572141	2.31507884856921	nonDEG	OG0000038	K03446	emrB; MFS transporter, DHA2 family, multidrug resistance protein
cds1613	7.18436352874929	7.45057742583707	0.473431072561252	nonDEG	OG0001890	K03709	troR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator
cds1614	5.87030611787423	5.71878377449262	0.981230512673902	nonDEG	OG0001309	K03322	mntH; manganese transport protein
cds1615	4.86077995869994	5.17812521069012	0.366351181741338	nonDEG	OG0003163		
cds1616	5.12480857841379	6.18672346940542	-0.151762404752071	nonDEG	OG0000866	K11717	sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
cds1617	8.04526431290816	8.4173483102448	0.444089979834862	nonDEG	OG0004006	K05602	hisN; histidinol-phosphatase [EC:3.1.3.15]
cds1618	6.16624268016612	7.16633925686548	-0.657815973714236	nonDEG	OG0000670	K06949	rsgA; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]
cds1619	6.22415185414379	7.52594203129847	-0.499071736917233	nonDEG	OG0000297	K00800	aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
cds162	5.58672433751633	4.03566592668355	1.37866824065408	nonDEG	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
cds1620	5.83181371206758	9.12245600194484	-2.17743558009645	down	OG0000320	K15977	putative oxidoreductase
cds1621	8.40660125711759	7.69984997954785	1.65999327895067	up	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
cds1623	8.08364756060213	5.72496008411049	3.2265486574378	up	OG0000509		
cds1624	9.09827780815616	7.05361233281801	3.00641901734671	up	OG0004437		
cds1626	5.97326314120007	5.77196279476843	0.42506106869212	nonDEG	OG0001185	K10804	tesA; acyl-CoA thioesterase I [EC:3.1.2.- 3.1.1.5]
cds1627	11.5696520731698	13.0906800942589	-0.691743783026127	nonDEG	OG0000886	K00164	OGDH; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
cds1628	6.1783669320374	6.88692001260178	0.0217827700117391	nonDEG	OG0006189	K00088	IMPDH; IMP dehydrogenase [EC:1.1.1.205]
cds1629	9.26173838898304	8.82430000747611	1.23884682349146	up	OG0000137	K06189	corC; magnesium and cobalt transporter
cds163	4.75524183115512	2.82889055183566	2.84507964726498	nonDEG	OG0000135	K15553	ssuA; sulfonate transport system substrate-binding protein
cds1630	5.2993292304328	5.69121872016427	0.475595778354166	nonDEG	OG0000137	K06189	corC; magnesium and cobalt transporter
cds1631	7.25288995249482	7.50644635846319	0.730883284045728	nonDEG	NA	NA	NA
cds1632	7.47801353051287	6.8244873096584	1.45943261573011	nonDEG	OG0001666	K09817	znuC; zinc transport system ATP-binding protein [EC:3.6.3.-]
cds1633	5.62209294385702	6.32602616683686	0.316119620562828	nonDEG	OG0000428	K09816	znuB; zinc transport system permease protein
cds1634	2.85761784446872	3.07750955404484	-0.752480309267326	nonDEG			
cds1635	5.63901878815493	2.28007041311858	3.17228306468603	nonDEG			
cds1636	4.08001026580517	4.00716718658968	-0.611578239670928	nonDEG	OG0000325	K03711	fur; Fur family transcriptional regulator, ferric uptake regulator
cds1637	5.83082563210838	4.77907713598676	1.94795936420115	nonDEG	OG0002542		
cds1638	5.99271934666079	6.5637843193589	0.337136997299516	nonDEG	OG0002672	K01738	cysK; cysteine synthase [EC:2.5.1.47]
cds1639	6.22201297093548	4.2523619745123	2.18260378163756	nonDEG	OG0000370	K01011	TST; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
cds1640	8.64276042270836	4.73388923280992	4.60630535034223	up			
cds1641	4.34251702068738	3.24903394498809	1.95358650360453	nonDEG	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
cds1642	4.46276058079454	3.73873866899963	0.78048617743163	nonDEG			
cds1643	5.26912838083916	3.92452468210849	2.64129166632762	nonDEG	OG0000047	K05834	rhtB; homoserine/homoserine lactone efflux protein
cds1644	7.88258920386862	7.0368716880106	1.55668720328607	up	OG0000269	K13979	yahK; uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]
cds1645	4.93196316789322	5.72829234055305	0.11575712652562	nonDEG	OG0000579	K02503	HINT1; histidine triad (HIT) family protein
cds1646	7.80235396124122	8.9940112809321	-0.316916467982966	nonDEG	OG0001483	K03578	hrpA; ATP-dependent helicase HrpA [EC:3.6.4.13]
cds1647	6.16790291739545	4.08602125141388	2.73195995229211	nonDEG	OG0000020	K07506	AraC family transcriptional regulator
cds1649	7.94361049696556	3.69463805564587	5.16399258603117	up	OG0001873	K01400	nprE; bacillolysin [EC:3.4.24.28]
cds165	6.02754284591104	3.90352531964638	1.21978207094683	nonDEG	OG0000184	K01895	ACSS; acetyl-CoA synthetase [EC:6.2.1.1]
cds1650	4.68304687648753	4.71407180851838	0.433202170786578	nonDEG	OG0002816		
cds1651	7.67181509094886	8.38817430799499	0.108225584681065	nonDEG	OG0000749	K01887	RARS; arginyl-tRNA synthetase [EC:6.1.1.19]
cds1652	6.55783429700024	7.50841834491529	0.237134107207087	nonDEG	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
cds1653	5.77753518651559	7.71084429071926	-0.416971690280957	nonDEG	OG0000639	K00003	hom; homoserine dehydrogenase [EC:1.1.1.3]
cds1654	7.86912017806983	8.20674895011382	0.440280756442373	nonDEG	OG0003738	K01733	thrC; threonine synthase [EC:4.2.3.1]
cds1655	5.86912017806983	7.32713271444551	-0.430833109871218	nonDEG	OG0002819	K00872	thrB1; homoserine kinase [EC:2.7.1.39]
cds1656	7.78330857600776	10.0647161531283	-1.34389568655869	nonDEG	OG0000839	K03628	rho; transcription termination factor Rho
cds1657	10.0927633110266	9.86349353926233	1.04451882526443	nonDEG	OG0000893	K02835	prfA; peptide chain release factor 1
cds1658	4.50397641966377	5.96725664947689	-0.401705885759195	nonDEG	OG0000222	K02493	hemK; release factor glutamine methyltransferase [EC:2.1.1.297]
cds1659	5.44947684223615	6.96172206446673	-0.581435647691243	nonDEG	OG0000278	K07566	tsaC; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
cds166	6.46648077740917	4.07750955404484	2.56908989010173	nonDEG	OG0000124	K04091	ssuD; alkanesulfonate monooxygenase [EC:1.14.14.5]
cds1660	6.47512090015554	7.73766447389447	-0.378565024671498	nonDEG	OG0004038	K16650	glft2; galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase [EC:2.4.1.288]
cds1661	5.62209294385702	6.41139295597197	0.0467768748756332	nonDEG	OG0004038	K16650	glft2; galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase [EC:2.4.1.288]
cds1662	9.51721769969813	9.34367150046124	0.992412446995672	nonDEG	OG0001295		
cds1663	4.93196316789322	6.15985064933599	-0.123761705879435	nonDEG	OG0000596	K13007	wbpL; Fuc2NAc and GlcNAc transferase [EC:2.4.1.-]
cds1664	6.27670173967253	7.80057928783074	-0.627774444271918	nonDEG			
cds1665	4.93579504750583	8.42012689251533	-2.19607339092844	down			
cds1666	8.86576895651519	11.3957640315841	-1.7206101385017	down	OG0000855	K02108	ATPF0A; F-type H+-transporting ATPase subunit a
cds1667	7.78212659571456	10.1398991659665	-1.38238711548513	nonDEG	OG0001028	K02110	ATPF0C; F-type H+-transporting ATPase subunit c
cds1668	9.5664178626738	10.3968866891509	0.0209316644897919	nonDEG	OG0001027	K02109	ATPF0B; F-type H+-transporting ATPase subunit b
cds1669	9.9051173335422	12.2436274333407	-1.47660452045639	down	OG0000854	K02113	ATPF1D; F-type H+-transporting ATPase subunit delta
cds167	4.31979607865418	4.02300997661721	1.33391966662632	nonDEG	OG0000070	K01758	CTH; cystathionine gamma-lyase [EC:4.4.1.1]
cds1670	11.0803800694972	13.2855622346473	-1.38405918488227	down	OG0000853	K02111	ATPF1A; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]
cds1671	9.62378955105589	11.8949647538676	-1.44721662041398	down	OG0000852	K02115	ATPF1G; F-type H+-transporting ATPase subunit gamma
cds1672	10.8072826668037	12.6869965941859	-1.06828822897525	down	OG0000851	K02112	ATPF1B; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
cds1673	4.01252841757	6.40326952854481	-1.64329982617665	nonDEG	OG0000850	K02114	ATPF1E; F-type H+-transporting ATPase subunit epsilon
cds1674	5.59458343863493	5.64049091381259	-1.08621193788891	nonDEG			
cds1675	5.74619448171618	5.47494049220176	0.43976929543769	nonDEG	OG0000408	K07214	fes; enterochelin esterase and related enzymes
cds1676	4.61749101068201	6.00786272044528	-0.180085843272363	nonDEG	OG0001713	K14205	mprF; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]
cds1677	8.53251717439589	8.36463662224531	0.963896763211304	nonDEG	OG0000042	K03704	cspA; cold shock protein (beta-ribbon, CspA family)
cds1678	4.10349337228506	5.31559139326688	-0.722945226881689	nonDEG	OG0001714	K01443	nagA; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]
cds1679	5.99243671465327	8.36093268974965	-1.4162635125813	nonDEG	OG0006173	K07503	nucS; endonuclease [EC:3.1.-.-]
cds1680	3.85761784446872	2.76654761933102	-0.0374871653730455	nonDEG	OG0006329		
cds1681	9.50673716543262	8.60758063956588	1.71296402211198	up	OG0001556	K07018	uncharacterized protein
cds1682	5.03540987476394	6.37505193335632	-0.249634886824607	nonDEG	OG0000167	K03548	perM; putative permease
cds1683	9.89391050390504	9.53833296735801	1.12053170791609	nonDEG	OG0006239		
cds1684	7.3877535231094	6.51458078880963	1.69116410587572	up	OG0000092	K03671	trxA; thioredoxin 1
cds1685	6.56912978418026	6.40777870492029	1.18431703444546	nonDEG	OG0000300	K00354	E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]
cds1686	4.24566527154203	6.04654464284431	-0.235334355913521	nonDEG	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
cds1687	4.94148621862548	3.21769434116744	2.9789654258399	nonDEG	OG0006153	K01992	ABC-2.P; ABC-2 type transport system permease protein
cds1688	4.35156437012632	3.21585538713778	1.44983350519512	nonDEG	OG0002082	K02564	nagB; glucosamine-6-phosphate deaminase [EC:3.5.99.6]
cds1689	8.39880914442113	8.74416416539554	0.489047050050529	nonDEG	OG0006180		
cds169	2.27265534374757	5.24819832645123	-3.43718202900146	nonDEG			
cds1690	5.43662849434889	7.00487173332897	-0.00535273123750772	nonDEG	OG0005164		
cds1691	7.66605016241389	8.74971118373533	-0.123885528468603	nonDEG			
cds1692	6.74401711433137	7.11932998937569	0.61287079231227	nonDEG	OG0001565	K08281	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
cds1693	8.73537627815189	8.85681631325274	0.692096315476726	nonDEG	OG0004007	K00763	pncB; nicotinate phosphoribosyltransferase [EC:6.3.4.21]
cds1694	4.85761784446872	5.05551569686125	-0.883133708259473	nonDEG	OG0001263	K06891	clpS; ATP-dependent Clp protease adaptor protein ClpS
cds1695	6.37643774580162	6.03977937759717	1.12521369845078	nonDEG	OG0006339		
cds1696	6.49292079835204	7.12411463597636	0.0498787655435527	nonDEG	OG0001049	K01776	murI; glutamate racemase [EC:5.1.1.3]
cds1697	6.35934424415372	7.01198040455482	0.00855783040541276	nonDEG	OG0001473	K00784	rnz; ribonuclease Z [EC:3.1.26.11]
cds1698	6.53234938659112	7.4995088544497	0.353788306775946	nonDEG	OG0001283	K00989	rph; ribonuclease PH [EC:2.7.7.56]
cds1699	5.80627328486661	5.93839779277773	0.720684086979756	nonDEG	OG0000832	K02428	rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]
cds17	7.59447925421114	5.73611796307531	2.82445575801618	up	OG0001284	K02039	phoU; phosphate transport system protein
cds170	5.74271209766358	7.58150944385865	-1.00152657197211	nonDEG	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
cds1700	6.89792509534232	7.80320742702827	-0.0769995605035821	nonDEG	OG0000056	K19302	bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]
cds1701	4.43652687084747	6.47714062924736	-1.17829330218392	nonDEG	OG0000172	K02342	dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]
cds1702	4.73208696238486	7.41186693178376	-3.39217653156236	nonDEG			
cds1703	7.83062777226319	8.09876774699146	0.540784217375533	nonDEG	OG0003084		
cds1704	2.85761784446872	5.12292462549038	-2.81043010678761	nonDEG	OG0003710	K00389	yidH; putative membrane protein
cds1706	5.94336840633919	4.02700085717257	2.90204008080433	up	OG0000284	K06188	aqpZ; aquaporin Z
cds1707	8.20265071280909	6.62562856691314	1.75243986786632	nonDEG	OG0001508	K03547	sbcD; DNA repair protein SbcD/Mre11
cds1708	7.67717574062886	7.12724548137865	1.50300616234872	nonDEG	OG0001266	K03546	sbcC; DNA repair protein SbcC/Rad50
cds1709	6.30087782317148	5.43142733510911	1.22669139584979	nonDEG			
cds171	4.16743899067127	4.09988095266435	-0.823232723606675	nonDEG			
cds1710	4.27265534374757	6.76283321757777	-3.06831774074286	nonDEG	OG0000054	K02624	pcaR; IclR family transcriptional regulator, pca regulon regulatory protein
