	D36E_col_1	D36E_col_2	D36E_col_3	D36E_vitro_1	D36E_vitro_2	D36E_vitro_3
PSPTO_1135-homocysteine S-methyltransferase family protein 	11	24	213	174	328	252
PSPTO_1136-malate:quinone oxidoreductase 	94	135	581	1829	1297	1291
PSPTO_1137-hypothetical protein 	0	0	1	4	5	9
PSPTO_1138-lipoprotein 	44	90	630	2382	1837	1749
PSPTO_1139-hypothetical protein 	0	1	16	21	5	22
PSPTO_1140-hypothetical protein 	42	104	452	357	300	550
PSPTO_1141-hypothetical protein 	6	0	4	15	19	25
PSPTO_1142-hypothetical protein 	1	0	10	8	15	3
PSPTO_1143-hypothetical protein 	10	3	18	53	57	96
PSPTO_1144-lipoprotein 	16	48	151	408	255	340
PSPTO_1145-hypothetical protein 	20	27	220	91	66	45
PSPTO_1146-ribosomal RNA small subunit methyltransferase C 	10	2	24	52	13	13
PSPTO_1147-LysE family transporter 	0	9	12	38	14	23
PSPTO_1148-medium-chain-fatty-acid--CoA ligase 	31	71	316	436	363	473
PSPTO_1149-hypothetical protein 	151	341	860	834	717	899
PSPTO_1150-hypothetical protein 	96	203	496	739	505	517
PSPTO_1151-LuxR family transcriptional regulator 	11	6	175	647	804	886
PSPTO_1152-HDIG domain protein 	9	17	28	98	74	155
PSPTO_1153-NAD(P)H-flavin oxidoreductase 	15	17	92	11	6	18
PSPTO_1154-alpha/beta fold family hydrolase 	20	74	176	57	43	39
PSPTO_1155-endoribonuclease L-PSP family protein 	13	22	92	41	40	37
PSPTO_1156-isochorismatase family protein 	9	30	30	6	4	3
PSPTO_1157-luciferase family protein 	37	71	237	14	6	22
PSPTO_1158-TetR family transcriptional regulator 	0	4	31	109	75	80
PSPTO_1159-bmp family protein 	9	10	66	19	8	9
PSPTO_1160-ABC transporter ATP-binding protein 	2	8	13	14	15	6
PSPTO_1161-hypothetical protein 	0	0	0	0	0	2
PSPTO_1164-ompA family protein 	131	326	1540	898	869	947
PSPTO_1165-hypothetical protein 	45	96	237	220	281	247
"PSPTO_1166-ISPssy, transposase "	0	0	0	0	0	0
PSPTO_1167-hypothetical protein 	1	0	1	99	20	29
PSPTO_1168-putative acyltransferase 	3	0	49	100	97	113
PSPTO_1169-phosphate acetyltransferase 	21	51	237	490	408	477
PSPTO_1170-hypothetical protein 	7	16	41	53	50	79
PSPTO_1171-FKBP-type peptidyl-prolyl cis-trans isomerase 	8	14	118	410	644	349
PSPTO_1172-glutathione peroxidase 	7	9	39	102	58	45
PSPTO_1173-oxidoreductase FAD/FMN-binding protein 	2	0	18	58	41	69
PSPTO_1174-glycoside hydrolase family protein 	4	2	18	15	46	25
PSPTO_1175-membrane protein 	0	0	1	1	7	5
PSPTO_1176-hypothetical protein 	0	0	36	31	33	63
PSPTO_1177-cysZ protein 	6	5	28	103	59	95
PSPTO_1178-thioredoxin reductase 	324	646	2701	454	286	453
PSPTO_1179-HopJ1 protein 	6	0	4	39	42	30
PSPTO_1180-hypothetical protein 	4	5	54	336	225	284
PSPTO_1181-dihydroneopterin aldolase 	9	42	86	55	23	32
PSPTO_1182-GTP cyclohydrolase I 	27	59	126	78	45	65
PSPTO_1183-dihydromonapterin reductase 	157	321	1163	484	610	700
PSPTO_1184-hypothetical protein 	10	18	156	106	79	91
PSPTO_1185-hypothetical protein 	50	152	702	615	795	759
PSPTO_1186-flavodoxin 	10	25	111	200	229	243
PSPTO_1187-short chain dehydrogenase/reductase family oxidoreductase 	16	15	48	32	46	33
"PSPTO_1188-ISPssy, transposase "	0	0	5	3	4	2
"PSPTO_1189-ISPsy5, transposase "	0	0	4	14	3	8
"PSPTO_1190-ISPsy5, Orf1 "	1	4	0	10	15	7
PSPTO_1191-hypothetical protein 	33	73	267	493	586	635
PSPTO_1192-hypothetical protein 	2	2	4	13	11	3
PSPTO_1193-hypothetical protein 	1	25	30	47	43	56
PSPTO_1194-bacteriophage N4 adsorption protein B 	9	25	62	114	98	136
PSPTO_1195-hypothetical protein 	2	3	20	21	13	5
PSPTO_1196-UDP-N-acetylglucosamine 2-epimerase 	22	35	188	57	28	48
PSPTO_1197-hypothetical protein 	12	16	123	85	75	75
PSPTO_1198-hypothetical protein 	1	5	24	23	11	15
PSPTO_1199-hypothetical protein 	0	0	0	3	0	6
PSPTO_1200-hypothetical protein 	0	7	20	38	27	34
PSPTO_1201-lipoprotein 	0	4	7	2	0	1
PSPTO_1202-hypothetical protein 	146	351	1672	98	162	204
PSPTO_1203-RNA polymerase sigma-70 family protein 	24	36	194	14	30	29
PSPTO_1204-regulatory protein 	0	0	18	30	39	24
PSPTO_1205-ribosomal subunit interface protein 	637	1961	5102	10836	10925	12616
PSPTO_1206-TonB-dependent siderophore receptor 	0	7	7	8	13	22
PSPTO_1207-iron(III) dicitrate transport protein fecA 	16	41	128	53	57	48
PSPTO_1208-regulatory protein 	4	0	40	22	46	11
PSPTO_1209-RNA polymerase sigma-70 family protein 	2	6	85	10	9	18
PSPTO_1210-hypothetical protein 	1	6	13	0	0	4
PSPTO_1211-membrane protein 	0	0	19	10	16	2
PSPTO_1212-hypothetical protein 	1	0	0	0	4	2
PSPTO_1213-AraC family transcriptional regulator 	14	30	127	187	207	208
PSPTO_1214-membrane protein 	0	5	0	0	4	0
PSPTO_1215-D-isomer specific 2-hydroxyacid dehydrogenase family protein 	63	123	464	308	189	219
PSPTO_1216-LysR family transcriptional regulator 	95	163	517	884	723	999
PSPTO_1217-outer membrane efflux protein 	2	0	5	29	36	26
PSPTO_1218-fusaric acid resistance protein 	0	3	31	69	64	64
PSPTO_1219-hypothetical protein 	0	0	0	1	0	0
PSPTO_1220-fusaric acid resistance protein 	0	3	17	6	7	11
PSPTO_1221-LysE family transporter 	28	40	261	866	510	578
PSPTO_1222-hypothetical protein 	0	0	0	5	9	3
PSPTO_1223-short chain dehydrogenase 	7	13	43	57	48	58
PSPTO_1224-hypothetical protein 	12	49	136	104	92	144
"PSPTO_1226-ISPsy5, Orf1 "	0	0	0	2	6	0
"PSPTO_1227-ISPsy5, transposase "	0	0	0	9	11	9
"PSPTO_1229-ISPssy, transposase "	0	0	15	13	5	17
PSPTO_1230-hypothetical protein 	0	0	0	4	2	0
PSPTO_1231-insecticidal toxin protein 	0	2	25	73	52	53
PSPTO_1232-alginate biosynthesis protein AlgA 	348	360	1525	274	86	180
PSPTO_1233-alginate biosynthesis protein AlgF 	82	56	272	50	28	32
PSPTO_1234-alginate biosynthesis protein AlgJ 	49	41	174	45	27	33
PSPTO_1235-alginate biosynthesis protein AlgI 	26	24	169	55	42	86
PSPTO_1236-alginate lyase 	8	7	88	9	17	32
PSPTO_1237-alginate biosynthesis protein AlgX 	8	30	141	27	14	31
PSPTO_1238-alginate biosynthesis protein AlgG 	34	25	152	35	53	54
PSPTO_1239-alginate biosynthesis protein AlgE 	30	20	115	8	18	15
PSPTO_1240-alginate biosynthesis protein AlgK 	12	19	45	3	5	3
PSPTO_1241-alginate biosynthesis protein Alg44 	37	8	137	25	11	15
PSPTO_1242-alginate biosynthesis protein Alg8 	15	16	54	16	5	10
PSPTO_1243-GDP-mannose 6-dehydrogenase AlgD 	70	86	368	31	25	19
PSPTO_1244-hypothetical protein 	29	78	277	241	128	265
PSPTO_1245-polysaccharide deacetylase family protein 	2	4	27	70	44	36
PSPTO_1246-PhoH-like protein 	947	2060	4948	964	944	1390
PSPTO_1247-molybdenum cofactor biosynthesis protein C 	4	9	37	25	31	44
PSPTO_1248-molybdenum cofactor biosynthesis protein D 	7	0	44	18	6	17
PSPTO_1249-molybdenum cofactor biosynthesis protein E 	3	3	5	27	24	40
PSPTO_1250-CsgG family protein 	0	8	4	83	36	30
PSPTO_1251-hypothetical protein 	0	5	16	79	66	34
PSPTO_1252-lipoprotein 	4	4	13	212	246	248
PSPTO_1253-ATP-dependent RNA helicase RhlB 	22	99	277	291	310	394
PSPTO_1254-carboxylesterase 	29	80	118	370	231	304
PSPTO_1255-amino acid ABC transporter substrate-binding protein 	379	733	2120	4173	2012	3422
PSPTO_1256-amino acid ABC transporter permease 	12	32	92	330	217	214
PSPTO_1257-amino acid ABC transporter permease 	5	1	28	179	64	93
PSPTO_1258-amino acid ABC transporter ATP-binding protein 	16	37	143	352	344	403
PSPTO_1259-hypothetical protein 	0	0	0	0	0	1
PSPTO_1260-cyanate MFS transporter 	3	12	50	48	49	27
PSPTO_1261-hypothetical protein 	8	27	97	45	66	105
PSPTO_1262-GIY-YIG nuclease superfamily protein 	0	14	60	28	26	44
PSPTO_1263-hypothetical protein 	14	54	186	116	83	111
PSPTO_1264-glutaredoxin NrdH 	2	0	32	45	55	47
PSPTO_1265-nucleoid-associated family protein 	31	63	227	144	91	120
PSPTO_1266-HU family DNA-binding protein 	26	70	402	3499	3960	2869
PSPTO_1267-hypothetical protein 	4	8	12	77	53	61
PSPTO_1268-valyl-tRNA synthetase 	40	32	358	846	630	769
PSPTO_1269-hypothetical protein 	3	18	60	136	104	183
PSPTO_1270-DNA polymerase III subunit chi 	5	26	50	97	109	170
PSPTO_1271-cytosol aminopeptidase 	36	143	439	1039	1037	1411
PSPTO_1272-membrane protein 	21	75	234	525	689	890
PSPTO_1273-membrane protein 	10	19	49	248	288	255
PSPTO_1274-cold shock domain family protein 	532	775	5177	22789	22114	20173
PSPTO_1275-glycine cleavage system T protein 	9	19	184	857	808	899
PSPTO_1276-glycine dehydrogenase 	38	72	251	1994	1622	2383
PSPTO_1277-glycine cleavage system H protein 	5	0	25	298	311	337
PSPTO_1278-sensory box protein/response regulator 	32	102	203	274	244	260
PSPTO_1280-transcriptional regulator TyrR 	14	26	121	207	152	248
PSPTO_1281-hypothetical protein 	111	277	1051	342	418	491
PSPTO_1282-hypothetical protein 	7	28	50	80	56	63
PSPTO_1283-heme oxygenase 	0	0	4	8	6	9
PSPTO_1284-TonB-dependent outer membrane heme receptor 	8	28	18	76	98	118
PSPTO_1285-regulatory protein 	12	37	50	159	101	179
PSPTO_1286-RNA polymerase sigma-70 family protein 	10	82	207	240	284	334
"PSPTO_1287-glyceraldehyde 3-phosphate dehydrogenase, type I "	875	2416	6343	4352	2171	3969
PSPTO_1288-6-phosphogluconate dehydratase 	119	187	734	1259	903	1351
PSPTO_1289-glucokinase 	14	27	120	950	620	1042
PSPTO_1290-DNA-binding response regulator 	43	67	246	400	305	427
PSPTO_1291-sensor histidine kinase 	2	10	35	369	364	431
"PSPTO_1292-glucose ABC transporter, periplasmic glucose-binding protein "	115	270	857	527	369	368
PSPTO_1293-glucose ABC transporter permease 	35	82	281	373	279	293
PSPTO_1294-glucose ABC transporter permease 	22	60	295	215	160	204
PSPTO_1295-glucose ABC transporter ATP-binding protein 	103	172	573	874	844	998
PSPTO_1296-porin B 	110	304	845	543	355	399
PSPTO_1297-hypothetical protein 	0	0	0	0	0	0
PSPTO_1298-hypothetical protein 	6	11	73	40	37	38
PSPTO_1299-Hex regulon repressor 	32	95	231	543	371	583
PSPTO_1300-glucose-6-phosphate 1-dehydrogenase 	103	258	825	2054	1431	1956
PSPTO_1301-6-phosphogluconolactonase 	45	122	471	624	354	499
PSPTO_1302-keto-hydroxyglutarate-aldolase/keto-deoxy- phosphogluconate aldolase 	6	22	83	308	186	236
PSPTO_1303-hypothetical protein 	3	23	28	23	23	19
PSPTO_1304-hypothetical protein 	1650	3585	11423	288	239	213
PSPTO_1305-diguanylate cyclase 	13	20	72	193	169	189
PSPTO_1306-heavy metal sensor histidine kinase 	3	4	32	211	176	239
PSPTO_1307-DNA-binding heavy metal response regulator 	7	5	43	60	46	28
PSPTO_1308-AcrB/AcrD/AcrF family protein 	14	49	108	350	341	431
PSPTO_1309-HlyD family secretion protein 	6	12	74	107	98	128
"PSPTO_1310-ISPssy, transposase "	7	5	13	29	21	40
PSPTO_1311-hypothetical protein 	31	48	233	71	106	105
PSPTO_1312-fimbral biosynthesis protein 	0	0	2	10	3	12
PSPTO_1313-pili assembly chaperone 	1	3	5	7	26	20
"PSPTO_1315-ISPssy, transposase "	0	4	0	0	0	0
PSPTO_1317-fimbral chaperone protein 	0	0	0	7	11	7
PSPTO_1318-hypothetical protein 	2	0	17	17	7	18
PSPTO_1319-hypothetical protein 	0	0	19	61	40	61
PSPTO_1320-hypothetical protein 	37	28	146	97	124	143
PSPTO_1321-hypothetical protein 	0	0	0	7	6	0
PSPTO_1322-GNAT family acetyltransferase 	1	4	6	30	40	28
PSPTO_1323-chemotaxis protein CheV 	37	76	234	435	343	578
PSPTO_1324-disulfide oxidoreductase 	5	27	89	355	210	243
PSPTO_1325-cytochrome o ubiquinol oxidase subunit II 	65	175	632	1785	563	896
PSPTO_1326-cytochrome o ubiquinol oxidase subunit I 	27	46	274	2297	584	666
PSPTO_1327-cytochrome o ubiquinol oxidase subunit III 	19	25	107	1017	175	180
PSPTO_1328-cytochrome o ubiquinol oxidase subunit IV 	16	24	141	567	159	210
PSPTO_1329-protoheme IX farnesyltransferase 	26	36	265	1304	744	804
PSPTO_1330-glycosyl transferase family protein 	38	87	220	481	329	426
PSPTO_1331-acetyltransferase 	21	50	286	466	454	500
PSPTO_1332-branched-chain amino acid aminotransferase 	83	237	986	1099	859	1385
PSPTO_1333-hypothetical protein 	8	42	114	151	98	157
PSPTO_1334-methyl-accepting chemotaxis protein 	45	116	412	559	396	548
PSPTO_1335-cyclohexadienyl dehydratase 	17	5	76	122	89	122
PSPTO_1336-ArsR family transcriptional regulator 	0	0	4	18	15	27
PSPTO_1337-oxidoreductase zinc-binding protein 	3	16	23	88	52	85
"PSPTO_1338-superoxide dismutase, Cu-Zn "	26	82	260	42	34	38
PSPTO_1339-membrane protein 	0	4	3	36	33	30
PSPTO_1340-carbonic anhydrase 	180	414	1821	1351	822	1672
PSPTO_1341-hypothetical protein 	7	20	65	188	166	257
PSPTO_1342-hypothetical protein 	2	11	44	106	68	121
PSPTO_1343-hypothetical protein 	16	69	129	482	287	510
PSPTO_1344-hypothetical protein 	0	2	7	28	12	10
PSPTO_1345-gluconolactonase 	4	17	37	44	61	68
PSPTO_1346-sensory box/GGDEF domain protein 	52	130	298	359	400	552
PSPTO_1347-gluconate transporter family protein 	6	12	56	150	144	138
PSPTO_1348-sensory box/GGDEF domain/EAL domain-containing protein 	20	32	145	176	239	260
PSPTO_1349-hypothetical protein 	29	108	319	723	615	814
PSPTO_1350-hypothetical protein 	18	27	115	168	217	291
PSPTO_1351-hypothetical protein 	9	22	36	123	82	133
PSPTO_1352-GntR family transcriptional regulator 	13	29	106	228	219	266
PSPTO_1353-hypothetical protein 	1	40	40	6	3	6
PSPTO_1354-isochorismatase family protein 	0	0	12	1	1	0
PSPTO_1355-ABC transporter ATP-binding protein 	4	8	30	10	11	21
PSPTO_1356-isochorismatase family protein 	5	18	38	7	11	4
PSPTO_1357-aliphatic amidase 	9	32	94	6	7	19
PSPTO_1358-ABC transporter permease 	0	0	0	3	2	0
PSPTO_1359-ABC transporter permease 	2	12	34	16	9	7
PSPTO_1360-bmp family protein 	5	10	55	2	8	5
PSPTO_1361-allophanate hydrolase 	10	55	100	18	12	23
PSPTO_1362-hypothetical protein 	0	2	6	15	24	10
PSPTO_1363-sugar transporter family protein 	17	12	97	326	277	358
PSPTO_1364-hypothetical protein 	7	64	139	133	133	194
PSPTO_1365-glutathione S-transferase 	10	82	257	63	37	90
PSPTO_1366-hypothetical protein 	17	32	131	118	139	197
PSPTO_1367-GNAT family acetyltransferase 	11	35	72	78	73	75
PSPTO_1368-lipoprotein 	25	54	267	750	466	705
PSPTO_1369-type III chaperone protein ShcN 	0	1	1	0	1	0
PSPTO_1370-type III effector HopN1 	0	0	0	0	0	0
PSPTO_1371-effector locus protein 	0	0	0	0	0	0
PSPTO_1372-type III effector HopAA1-1 	0	0	0	0	0	0
PSPTO_1373-type III helper protein HrpW1 	0	0	1	0	0	0
PSPTO_1374-type III chaperone ShcM 	0	0	0	0	1	0
PSPTO_1375-type III effector HopM1 	0	0	0	0	0	0
PSPTO_1376-type III chaperone ShcE 	1	0	0	0	0	0
PSPTO_1377-type III effector protein AvrE1 	0	0	0	0	0	0
PSPTO_1378-membrane-bound lytic murein transglycosylase D 	6	15	121	7	3	13
PSPTO_1379-type III transcriptional regulator HrpR 	13	38	142	31	8	30
PSPTO_1380-type III transcriptional regulator HrpS 	10	9	91	23	27	12
PSPTO_1381-type III helper protein HrpA1 	675	1505	6456	133	130	114
PSPTO_1382-type III restriction system endonuclease 	85	156	968	10	6	6
PSPTO_1383-type III secretion protein HrpB 	18	24	275	8	0	3
PSPTO_1384-type III secretion protein HrcJ 	38	84	544	45	26	27
PSPTO_1385-type III secretion protein HrpD 	37	74	397	17	17	22
PSPTO_1386-type III secretion protein HrpE 	29	57	386	4	18	11
PSPTO_1387-type III secretion protein HrpF 	56	103	656	6	9	2
PSPTO_1388-type III secretion protein HrpG 	72	134	1004	7	11	7
PSPTO_1389-outer-membrane type III secretion protein HrcC 	88	147	641	39	30	22
PSPTO_1390-type III secretion protein 	6	10	32	4	0	0
PSPTO_1391-negative regulator of hrp expression HrpV 	29	17	152	23	25	37
PSPTO_1392-type III secretion protein HrcU 	13	33	152	18	11	9
PSPTO_1393-type III secretion protein HrcT 	11	13	38	7	6	10
PSPTO_1394-type III secretion protein HrcS 	1	0	7	0	0	1
PSPTO_1395-type III secretion protein HrcR 	24	57	169	3	8	5
PSPTO_1396-type III secretion protein HrcQb 	0	20	76	10	4	0
PSPTO_1397-type III secretion protein HrcQa 	17	23	204	2	6	9
PSPTO_1398-type III secretion protein HrpP 	26	77	230	19	26	38
PSPTO_1399-type III secretion protein HrpO 	72	158	587	32	17	13
PSPTO_1400-type III secretion cytoplasmic ATPase HrcN 	28	74	269	7	25	14
PSPTO_1401-type III secretion protein HrpQ 	80	203	844	22	21	30
PSPTO_1402-type III secretion protein HrcV 	68	126	764	49	50	70
PSPTO_1403-type III secretion protein HrpJ 	85	119	885	60	44	56
PSPTO_1404-RNA polymerase sigma factor HrpL 	197	379	1585	45	55	50
PSPTO_1405-type III helper protein HrpK1 	463	793	2737	111	109	126
PSPTO_1406-type III effector HopB1 	0	0	3	0	0	0
PSPTO_1407-ISPssy transposase or derivative 	3	0	20	21	25	29
PSPTO_1408-ISPssy transposase or derivative 	11	9	48	11	16	2
PSPTO_1409-ISPssy transposase or derivative 	22	8	102	133	123	106
PSPTO_1410-ISPssy transposase or derivative 	102	213	575	263	220	296
PSPTO_1411-hypothetical protein 	15	14	138	278	193	136
PSPTO_1412-S-adenosylmethionine--tRNA ribosyltransferase-isomerase 	12	27	198	456	512	445
PSPTO_1413-queuine tRNA-ribosyltransferase 	12	42	98	206	206	173
PSPTO_1414-preprotein translocase subunit YajC 	4	20	56	444	294	391
PSPTO_1415-protein-export membrane protein SecD 	8	32	76	651	244	278
PSPTO_1416-protein-export membrane protein SecF 	16	17	130	619	581	768
PSPTO_1417-hypothetical protein 	18	70	124	299	193	424
"PSPTO_1418-ISPsy6, transposase "	0	0	0	0	1	0
PSPTO_1419-inositol-1-monophosphatase 	31	56	277	868	548	735
"PSPTO_1420-RNA methyltransferase, TrmH family, group 1 "	1	0	8	44	34	34
PSPTO_1421-serine O-acetyltransferase 	3	8	31	160	203	193
PSPTO_1422-rrf2 family protein 	67	162	545	364	368	296
PSPTO_1423-cysteine desulfurase 	102	222	860	776	777	833
PSPTO_1424-iron-binding protein IscU 	9	21	127	119	66	59
PSPTO_1425-iron-binding protein IscA 	16	28	116	80	85	87
PSPTO_1426-co-chaperone Hsc20 	17	69	133	87	73	70
PSPTO_1427-chaperone protein HscA 	13	38	76	264	206	353
"PSPTO_1428-ferredoxin, 2Fe-2S "	12	11	59	101	109	112
PSPTO_1429-hypothetical protein 	0	4	18	61	42	61
PSPTO_1430-nucleoside diphosphate kinase 	65	102	644	1773	1241	1486
"PSPTO_1431-radical SAM enzyme, Cfr family "	9	35	212	482	360	455
PSPTO_1432-type IV pilus biogenesis protein PilF 	16	28	69	215	292	320
PSPTO_1433-hypothetical protein 	26	111	158	394	274	418
PSPTO_1434-1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase 	18	29	134	450	384	386
PSPTO_1435-histidyl-tRNA synthetase 	16	43	220	923	1238	1212
PSPTO_1436-hypothetical protein 	22	38	211	274	219	202
PSPTO_1437-PQQ enzyme repeat domain-containing protein 	6	16	116	468	372	376
PSPTO_1438-GTP-binding protein EngA 	9	33	81	455	301	244
"PSPTO_1439-ISPsy6, transposase "	0	0	0	0	0	0
PSPTO_1440-class I and II aminotransferase 	58	163	468	1999	1863	2727
PSPTO_1441-hydrolase 	4	2	22	37	49	50
PSPTO_1443-hydrolase 	32	95	227	254	151	236
PSPTO_1444-hydrolase 	385	634	1976	2904	2071	3152
PSPTO_1445-hydrolase 	4	10	60	339	289	357
PSPTO_1446-hydrolase 	11	48	120	360	430	415
PSPTO_1447-hydrolase 	0	0	0	1	1	10
PSPTO_1448-hydrolase 	15	42	68	222	160	235
PSPTO_1449-hydrolase 	55	88	415	796	741	773
PSPTO_1450-hydrolase 	25	56	196	351	378	409
PSPTO_1451-hydrolase 	21	60	187	631	475	556
PSPTO_1452-hydrolase 	0	2	7	54	68	67
PSPTO_1453-hydrolase 	52	234	593	246	193	279
PSPTO_1454-hydrolase 	2	9	9	18	13	26
PSPTO_1455-hydrolase 	0	3	27	190	171	206
PSPTO_1456-hydrolase 	3	7	49	240	209	230
PSPTO_1457-hydrolase 	0	0	0	14	25	10
PSPTO_1458-hydrolase 	44	108	329	539	617	811
PSPTO_1459-hydrolase 	123	238	999	2150	1629	2188
PSPTO_1460-hydrolase 	0	0	2	6	14	4
PSPTO_1461-hydrolase 	7	11	102	199	190	260
PSPTO_1462-hydrolase 	14	27	119	148	255	233
PSPTO_1463-hydrolase 	0	0	0	1	0	0
PSPTO_1464-hydrolase 	32	87	351	465	367	595
PSPTO_1465-hydrolase 	16	10	52	298	272	302
PSPTO_1466-hydrolase 	0	4	23	30	65	65
PSPTO_1467-hydrolase 	0	3	27	80	52	35
PSPTO_1468-hydrolase 	19	30	148	382	268	304
PSPTO_1469-hydrolase 	1	5	20	94	95	102
PSPTO_1470-hydrolase 	17	30	176	687	747	833
PSPTO_1471-hydrolase 	13	27	141	500	378	516
PSPTO_1472-hydrolase 	7	33	162	298	243	298
PSPTO_1473-hydrolase 	173	293	1227	5676	3349	4358
PSPTO_1474-hydrolase 	81	141	452	2629	1245	1717
PSPTO_1475-hydrolase 	50	62	192	1172	495	709
PSPTO_1476-hydrolase 	15	58	176	334	435	450
PSPTO_1477-hydrolase 	0	0	1	0	1	0
PSPTO_1478-hydrolase 	0	0	40	28	33	59
PSPTO_1479-hydrolase 	27	104	272	313	118	194
PSPTO_1480-hydrolase 	27	45	169	417	308	203
PSPTO_1481-hydrolase 	32	92	379	1033	749	1030
PSPTO_1482-hydrolase 	14	25	45	193	168	261
PSPTO_1483-hydrolase 	2	2	35	28	38	53
PSPTO_1484-hydrolase 	6	14	15	45	56	78
PSPTO_1485-hydrolase 	24	23	152	87	89	99
PSPTO_1486-hydrolase 	1	3	20	64	85	73
PSPTO_1487-hydrolase 	12	24	84	118	60	72
PSPTO_1488-hydrolase 	4	8	31	95	105	135
PSPTO_1489-hydrolase 	112	306	1131	105	110	112
PSPTO_1490-hydrolase 	21	52	258	132	142	173
PSPTO_1491-hydrolase 	45	164	402	128	156	218
PSPTO_1492-hydrolase 	4	10	55	264	336	411
PSPTO_1493-hydrolase 	24	38	149	334	306	289
PSPTO_1494-hydrolase 	1	6	30	80	153	99
PSPTO_1495-hydrolase 	4	12	89	225	199	205
PSPTO_1496-hydrolase 	0	13	8	41	66	42
PSPTO_1497-hydrolase 	10	3	30	187	181	192
PSPTO_1498-hydrolase 	11	4	62	175	158	229
PSPTO_1499-hydrolase 	16	58	213	514	622	724
PSPTO_1500-hydrolase 	38	42	179	527	331	352
PSPTO_1501-hydrolase 	22	15	83	268	289	282
PSPTO_1502-hydrolase 	5	10	28	16	18	11
PSPTO_1503-hydrolase 	42	136	265	427	240	370
PSPTO_1504-hydrolase 	8	25	135	277	263	382
PSPTO_1505-hydrolase 	1	11	52	84	102	110
PSPTO_1506-ompA family protein 	970	2601	8630	295	206	217
PSPTO_1507-hypothetical protein 	1015	2434	6877	544	278	343
PSPTO_1508-phosphoenolpyruvate carboxylase 	115	277	892	574	514	647
PSPTO_1509-adenylate kinase 	111	164	681	3683	2162	2941
PSPTO_1510-hypothetical protein 	3	9	59	132	112	127
PSPTO_1511-hypothetical protein 	54	69	351	310	286	398
PSPTO_1512-hypothetical protein 	20	10	50	61	81	103
PSPTO_1513-hypothetical protein 	0	6	7	5	16	6
PSPTO_1514-hypothetical protein 	27	31	103	186	137	239
PSPTO_1515-hypothetical protein 	3	26	82	82	112	132
PSPTO_1516-hypothetical protein 	0	0	3	0	3	1
PSPTO_1517-hypothetical protein 	0	0	9	5	7	3
PSPTO_1518-hypothetical protein 	38	82	211	165	109	140
PSPTO_1519-hypothetical protein 	5	11	22	27	40	31
PSPTO_1520-glycerol-3-phosphate acyltransferase 	15	77	151	467	501	605
PSPTO_1521-hypothetical protein 	3	7	16	105	66	125
PSPTO_1522-rRNA large subunit methyltransferase A 	14	44	114	383	307	349
PSPTO_1523-succinyl-diaminopimelate desuccinylase 	2	19	95	211	115	153
PSPTO_1524-glycosyl transferase family protein 	18	27	149	339	367	442
PSPTO_1525-ThiF family protein 	16	26	102	520	389	431
PSPTO_1526-sufE protein 	4	4	4	0	9	3
PSPTO_1527-cysteine sulfinate desulfinase 	11	15	60	106	146	141
PSPTO_1528-tetrahydrodipicolinate succinylase 	11	43	142	186	110	107
PSPTO_1529-arsC family protein 	8	21	89	87	99	85
PSPTO_1530-hypothetical protein 	0	3	16	12	18	14
PSPTO_1531-class I and II aminotransferase 	3	38	86	276	152	215
PSPTO_1532-[protein-pII] uridylyltransferase 	47	77	370	723	714	956
PSPTO_1533-methionine aminopeptidase 	16	55	205	192	134	185
PSPTO_1534-methionine aminopeptidase 	647	1661	6515	13601	10209	10718
PSPTO_1535-methionine aminopeptidase 	10	29	140	780	486	570
PSPTO_1536-methionine aminopeptidase 	10	3	33	120	78	45
PSPTO_1537-ribosome recycling factor 	21	28	81	102	49	75
PSPTO_1538-undecaprenyl diphosphate synthase 	6	10	36	142	95	156
PSPTO_1539-phosphatidate cytidylyltransferase 	0	0	15	29	37	24
PSPTO_1540-1-deoxy-D-xylulose 5-phosphate reductoisomerase 	8	7	58	99	108	107
PSPTO_1541-membrane-associated zinc metalloprotease 	4	27	112	350	265	260
PSPTO_1542-outer membrane protein 	141	122	880	4648	3282	4409
PSPTO_1543-outer membrane protein OmpH 	4	5	37	187	180	195
PSPTO_1544-UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase 	4	1	59	298	251	381
PSPTO_1545-(3R)-hydroxymyristoyl-ACP dehydratase 	4	13	70	449	396	354
PSPTO_1546-UDP-N-acetylglucosamine acyltransferase 	6	16	29	193	180	238
PSPTO_1547-lipid A disaccharide synthase 	0	10	28	326	482	382
PSPTO_1548-ribonuclease HII 	1	4	18	96	139	98
PSPTO_1549-DNA polymerase III subunit alpha 	39	61	237	1238	1208	1248
PSPTO_1550-acetyl-CoA carboxylase carboxyltransferase subunit alpha 	80	182	502	1281	1251	1605
PSPTO_1551-cell cycle protein mesJ 	37	67	148	411	453	675
PSPTO_1552-CTP synthase 	55	66	215	511	362	399
PSPTO_1553-2-dehydro-3-deoxyphosphooctonate aldolase 	38	62	206	402	268	393
PSPTO_1554-enolase 	152	359	940	2573	1106	1851
PSPTO_1555-hypothetical protein 	0	0	5	24	21	15
PSPTO_1556-4-diphosphocytidyl-2C-methyl-D-erythritol synthase 	2	0	23	44	58	50
PSPTO_1557-LysR family transcriptional regulator 	3	13	52	63	58	73
